1:ItNr	2:Metric	3:StepSize	4:||Gradient||	Time[ms]
143	-0.161360	60.130516	0.010014	4.9
144	-0.133061	60.025880	0.022590	3.8
145	-0.178564	59.921729	0.026657	3.4
146	-0.179770	59.818058	0.022696	3.4
147	-0.094258	59.714864	0.017253	2.7
148	-0.270640	59.612144	0.024363	3.3
149	-0.263061	59.509893	0.019092	2.9
150	-0.244507	59.408109	0.012878	3.3
151	-0.256447	59.306787	0.016451	2.4
152	-0.150152	59.205925	0.023703	2.4
153	-0.108658	59.105519	0.008306	2.5
154	-0.223819	59.005566	0.015902	3.7
155	-0.168756	58.906063	0.010149	3.5
156	-0.424914	58.807006	0.017090	3.4
157	-0.164863	58.708391	0.017990	3.0
158	-0.141747	58.610217	0.011093	3.2
159	-0.142396	58.512479	0.010008	2.4
160	-0.195800	58.415174	0.016860	3.5
161	-0.179066	58.318300	0.016910	2.7
162	-0.089563	58.221853	0.016548	2.6
163	-0.379711	58.125830	0.025068	3.0
164	-0.144824	58.030228	0.009892	3.1
165	-0.192521	57.935044	0.021352	3.0
166	-0.123164	57.840276	0.010075	3.8
167	-0.203175	57.745920	0.025638	6.3
168	-0.042945	57.651973	0.015169	4.2
169	-0.212893	57.558433	0.029865	3.4
170	-0.044057	57.465296	0.015914	3.1
171	-0.111036	57.372560	0.021250	3.8
172	-0.270325	57.280223	0.014140	3.6
173	-0.479198	57.188280	0.030457	3.2
174	-0.155693	57.096730	0.013082	3.2
175	-0.177799	57.005569	0.018637	3.9
176	-0.182681	56.914796	0.011036	3.8
177	-0.166529	56.824407	0.020693	2.9
178	-0.147247	56.734400	0.030086	2.9
179	-0.187678	56.644773	0.016436	2.9
180	-0.269562	56.555521	0.031043	4.2
181	-0.106366	56.466644	0.006058	3.3
182	-0.282041	56.378138	0.033743	3.2
183	-0.206494	56.290002	0.023429	3.3
184	-0.214934	56.202231	0.019745	3.6
185	-0.348680	56.114825	0.035904	3.7
186	-0.204800	56.027780	0.013431	3.0
187	-0.330023	55.941095	0.013605	2.8
188	-0.272495	55.854766	0.034867	2.6
189	-0.299242	55.768791	0.029309	2.7
190	-0.175764	55.683169	0.013978	2.7
191	-0.034357	55.597896	0.007904	2.9
192	-0.373498	55.512970	0.011998	3.3
193	-0.472975	55.428390	0.036290	2.7
194	-0.037734	55.344152	0.013472	2.7
195	-0.255914	55.260255	0.034964	3.2
196	-0.178517	55.176696	0.013722	2.3
197	-0.130324	55.093473	0.025927	2.5
198	-0.174989	55.010584	0.019922	2.6
199	-0.161119	54.928027	0.015322	2.4
200	-0.225343	54.845800	0.019289	3.1
201	-0.277426	54.763899	0.025969	4.0
202	-0.079651	54.682325	0.014025	2.3
203	-0.137217	54.601073	0.043735	2.7
204	-0.201083	54.520142	0.028124	2.0
205	-0.056027	54.439531	0.016984	2.5
206	-0.182326	54.359237	0.031439	2.6
207	-0.462268	54.279257	0.030748	2.0
208	-0.421511	54.199591	0.028133	2.4
209	-0.319877	54.120236	0.016211	2.0
210	-0.410310	54.041190	0.033111	1.9
211	-0.166036	53.962451	0.011420	2.2
212	-0.331461	53.884017	0.042782	2.3
213	-0.112727	53.805886	0.017736	2.8
214	-0.297013	53.728057	0.026423	2.5
215	-0.186831	53.650528	0.042184	1.6
216	-0.131928	53.573296	0.013261	1.7
217	-0.030942	53.496359	0.009446	1.7
218	-0.160286	53.419717	0.025329	1.6
219	-0.071427	53.343367	0.010212	1.7
220	-0.118171	53.267307	0.028659	1.7
221	-0.217037	53.191535	0.020774	1.7
222	-0.195119	53.116051	0.028333	1.9
223	-0.185064	53.040851	0.016782	1.9
224	-0.223924	52.965934	0.016281	1.9
225	-0.193642	52.891299	0.010223	1.9
226	-0.240120	52.816944	0.036907	1.9
227	-0.067366	52.742867	0.006551	1.9
228	-0.351598	52.669066	0.024763	1.9
229	-0.224762	52.595540	0.021047	2.5
230	-0.172369	52.522288	0.017474	2.3
231	-0.111527	52.449306	0.019582	2.6
232	-0.061341	52.376595	0.007298	3.5
233	-0.431373	52.304151	0.015448	3.5
234	-0.194121	52.231974	0.020865	3.1
235	-0.209423	52.160062	0.011128	3.0
236	-0.199776	52.088414	0.014410	2.7
237	-0.116413	52.017027	0.009009	2.4
238	-0.142158	51.945901	0.009698	2.1
239	-0.181960	51.875033	0.025479	2.6
240	-0.312533	51.804423	0.026104	2.5
241	-0.266363	51.734069	0.031799	2.0
242	-0.173906	51.663968	0.014493	1.9
243	-0.174478	51.594120	0.012427	1.9
244	-0.243697	51.524524	0.021482	2.3
245	-0.252497	51.455177	0.017517	1.8
246	-0.176004	51.386079	0.019275	2.3
247	-0.221532	51.317228	0.029269	2.1
248	-0.157736	51.248622	0.035978	1.6
249	-0.119265	51.180260	0.026696	1.6
250	-0.095441	51.112141	0.006459	1.7
251	-0.237933	51.044263	0.018971	1.9
252	-0.058861	50.976624	0.009310	2.1
253	-0.162588	50.909225	0.018465	2.0
254	-0.160621	50.842062	0.024759	2.1
255	-0.012851	50.775135	0.004855	2.1
256	-0.138442	50.708443	0.018625	2.4
257	-0.192497	50.641984	0.020611	2.6
258	-0.165435	50.575756	0.018298	2.7
259	-0.208744	50.509759	0.014565	2.7
260	-0.117914	50.443991	0.019175	2.3
261	-0.215037	50.378451	0.011424	2.9
262	-0.212627	50.313138	0.032671	2.6
263	-0.113882	50.248049	0.008862	2.9
264	-0.132986	50.183185	0.012208	8.3
265	-0.437653	50.118544	0.037714	4.9
266	-0.210214	50.054124	0.023979	3.2
267	-0.211672	49.989925	0.013731	2.4
268	-0.097661	49.925945	0.020122	2.8
269	-0.133045	49.862182	0.023918	2.9
270	-0.287043	49.798636	0.020975	3.0
271	-0.143499	49.735306	0.016931	2.4
272	-0.150424	49.672190	0.023741	2.3
273	-0.351560	49.609288	0.013240	2.3
274	-0.309199	49.546597	0.016391	2.3
275	-0.246650	49.484117	0.017063	2.6
276	-0.269774	49.421847	0.056112	2.4
277	-0.232670	49.359785	0.011851	2.4
278	-0.220105	49.297930	0.032101	2.5
279	-0.455732	49.236282	0.022202	2.4
280	-0.132273	49.174839	0.022842	2.3
281	-0.047544	49.113600	0.009420	2.3
282	-0.177210	49.052564	0.025515	2.4
283	-0.246632	48.991730	0.018660	2.4
284	-0.030926	48.931097	0.014792	2.1
285	-0.305621	48.870663	0.029369	2.2
286	-0.236760	48.810428	0.012947	1.8
287	-0.458241	48.750391	0.023718	1.7
288	-0.225257	48.690550	0.012350	2.0
289	-0.231310	48.630905	0.022093	2.1
290	-0.134534	48.571454	0.020499	2.4
291	-0.282389	48.512196	0.010032	1.8
292	-0.190973	48.453131	0.032571	2.4
293	-0.217975	48.394257	0.015317	2.1
294	-0.211866	48.335574	0.016542	1.9
295	-0.216306	48.277079	0.016567	1.8
296	-0.264956	48.218774	0.018671	1.8
297	-0.248164	48.160656	0.024414	1.8
298	-0.158085	48.102724	0.026117	1.8
299	-0.243675	48.044977	0.032070	1.8
300	-0.159982	47.987415	0.023138	1.8
301	-0.186909	47.930037	0.016950	1.9
302	-0.247123	47.872841	0.015656	2.4
303	-0.155874	47.815827	0.019325	2.3
304	-0.090930	47.758994	0.021700	1.8
305	-0.067123	47.702340	0.009839	2.1
306	-0.072462	47.645865	0.005389	1.9
307	-0.112787	47.589569	0.025430	1.9
308	-0.128386	47.533449	0.020457	2.0
309	-0.160766	47.477505	0.022624	1.9
310	-0.069469	47.421737	0.009571	1.8
311	-0.364487	47.366143	0.040374	1.7
312	-0.186791	47.310722	0.016636	1.8
313	-0.221476	47.255474	0.023828	2.0
314	-0.070474	47.200398	0.018534	1.8
315	-0.220467	47.145492	0.025976	2.1
316	-0.263794	47.090757	0.036494	1.9
317	-0.153556	47.036190	0.024966	1.9
318	-0.202693	46.981792	0.016668	2.1
319	-0.160487	46.927562	0.018761	2.4
320	-0.204348	46.873498	0.045473	1.8
321	-0.109201	46.819599	0.025489	1.7
322	-0.183754	46.765866	0.021257	2.1
323	-0.107634	46.712297	0.010882	1.7
324	-0.252064	46.658891	0.030606	1.8
325	-0.214920	46.605648	0.028987	1.7
326	-0.162433	46.552566	0.031789	1.9
327	-0.161033	46.499646	0.023844	1.9
328	-0.219233	46.446885	0.016941	2.1
329	-0.288942	46.394284	0.024898	2.7
330	-0.166466	46.341841	0.010889	2.1
331	-0.307766	46.289556	0.046087	1.8
332	-0.243483	46.237428	0.018164	1.8
333	-0.219878	46.185457	0.021613	2.0
334	-0.274691	46.133640	0.014446	1.9
335	-0.314705	46.081979	0.033846	1.9
336	-0.202637	46.030472	0.013553	2.1
337	-0.240362	45.979117	0.025643	1.8
338	-0.122829	45.927916	0.021727	1.7
339	-0.015654	45.876866	0.005402	1.7
340	-0.255611	45.825967	0.012477	1.8
341	-0.092694	45.775218	0.021061	1.7
342	-0.162382	45.724619	0.012173	1.8
343	-0.129482	45.674169	0.022223	1.9
344	-0.239369	45.623867	0.024861	2.1
345	-0.279370	45.573713	0.022537	1.9
346	-0.162614	45.523705	0.017134	2.1
347	-0.561332	45.473843	0.029316	1.7
348	-0.083124	45.424127	0.006861	1.7
349	-0.260984	45.374555	0.022350	1.9
350	-0.142134	45.325128	0.012605	1.8
351	-0.394519	45.275843	0.046313	1.9
352	-0.221293	45.226702	0.018114	1.8
353	-0.481838	45.177702	0.052386	2.1
354	-0.094598	45.128844	0.020133	1.9
355	-0.313936	45.080126	0.019549	1.8
356	-0.296299	45.031548	0.020447	1.9
357	-0.177590	44.983110	0.015199	1.8
358	-0.124428	44.934810	0.019669	1.8
359	-0.443167	44.886648	0.019109	1.8
360	-0.077704	44.838624	0.008755	1.9
361	-0.163458	44.790737	0.032513	2.2
362	-0.183106	44.742985	0.019094	2.0
363	-0.231586	44.695370	0.017041	2.4
364	-0.204039	44.647889	0.016580	2.6
365	-0.203191	44.600542	0.016764	2.1
366	-0.417454	44.553329	0.031297	2.8
367	-0.192291	44.506249	0.023840	3.1
368	-0.105590	44.459302	0.006407	2.5
369	-0.132080	44.412486	0.028751	2.1
370	-0.211346	44.365801	0.010056	2.1
371	-0.284143	44.319248	0.026043	2.2
372	-0.147744	44.272824	0.019328	2.8
373	-0.153890	44.226529	0.009266	1.9
374	-0.140471	44.180364	0.041743	2.0
375	-0.227124	44.134327	0.022492	2.4
376	-0.507143	44.088417	0.016539	2.0
377	-0.193394	44.042635	0.022011	2.2
378	-0.137690	43.996979	0.017939	2.4
379	-0.125942	43.951449	0.024789	2.6
380	-0.284523	43.906045	0.025143	2.2
381	-0.220127	43.860765	0.014512	2.2
382	-0.198938	43.815610	0.013288	2.0
383	-0.428167	43.770579	0.042354	2.1
384	-0.135285	43.725670	0.016183	2.0
385	-0.128092	43.680885	0.015044	2.3
386	-0.281680	43.636221	0.021501	2.3
387	-0.351457	43.591679	0.038312	1.9
388	-0.166735	43.547258	0.013090	1.9
389	-0.151555	43.502958	0.021987	2.0
390	-0.266294	43.458778	0.016408	1.9
391	-0.430159	43.414717	0.032338	1.9
392	-0.169792	43.370775	0.013059	2.2
393	-0.155588	43.326951	0.013598	2.4
394	-0.295906	43.283245	0.031178	1.9
395	-0.306060	43.239657	0.016328	2.1
396	-0.369577	43.196185	0.019564	2.1
397	-0.107012	43.152830	0.020248	2.0
398	-0.146464	43.109591	0.012076	2.1
399	-0.146870	43.066467	0.025229	2.0
400	-0.187987	43.023458	0.011398	1.8
401	-0.203272	42.980563	0.026739	1.8
402	-0.256327	42.937782	0.013102	1.8
403	-0.261188	42.895115	0.014274	2.4
404	-0.281466	42.852560	0.011004	2.4
405	-0.390669	42.810118	0.016809	2.1
406	-0.160110	42.767787	0.029333	2.8
407	-0.149406	42.725568	0.012379	2.8
408	-0.089272	42.683460	0.010405	5.3
409	-0.300294	42.641463	0.033337	2.8
410	-0.153953	42.599575	0.024107	2.9
411	-0.290239	42.557797	0.023863	2.9
412	-0.122493	42.516128	0.023847	3.0
413	-0.154707	42.474568	0.032783	4.0
414	-0.483080	42.433116	0.031752	2.5
415	-0.185142	42.391772	0.015457	2.6
416	-0.301869	42.350535	0.024806	3.2
417	-0.186522	42.309404	0.006754	2.5
418	-0.188880	42.268380	0.026822	2.1
419	-0.185219	42.227462	0.013402	2.7
420	-0.265966	42.186650	0.026953	2.5
421	-0.333111	42.145942	0.024136	2.3
422	-0.167779	42.105339	0.014880	2.7
423	-0.031465	42.064840	0.007907	2.5
424	-0.200431	42.024445	0.022834	3.1
425	-0.243224	41.984153	0.019378	2.2
426	-0.064248	41.943964	0.010560	2.0
427	-0.389495	41.903877	0.021269	2.8
428	-0.242706	41.863893	0.011025	2.4
429	-0.236022	41.824010	0.036111	1.9
430	-0.273500	41.784228	0.016858	1.7
431	-0.082838	41.744547	0.010933	2.0
432	-0.108096	41.704966	0.018479	1.8
433	-0.199386	41.665485	0.046123	1.6
434	-0.339450	41.626104	0.027038	1.7
435	-0.108551	41.586821	0.007617	2.0
436	-0.222965	41.547638	0.015551	1.7
437	-0.139115	41.508552	0.015565	1.7
438	-0.178022	41.469565	0.017427	1.6
439	-0.288262	41.430675	0.019169	1.7
440	-0.230829	41.391882	0.026023	1.8
441	-0.140681	41.353186	0.016001	1.7
442	-0.185765	41.314587	0.015964	1.8
443	-0.135590	41.276083	0.020320	1.7
444	-0.282997	41.237675	0.013794	1.7
445	-0.162574	41.199361	0.015157	1.7
446	-0.221257	41.161143	0.013724	1.6
447	-0.139676	41.123019	0.009285	1.8
448	-0.070014	41.084989	0.012422	2.0
449	-0.133046	41.047053	0.014379	1.8
450	-0.109744	41.009210	0.030413	1.7
451	-0.269139	40.971460	0.029710	1.8
452	-0.122114	40.933802	0.025620	1.6
453	-0.197657	40.896237	0.036249	1.7
454	-0.132573	40.858763	0.017587	1.7
455	-0.326960	40.821381	0.020553	1.8
456	-0.054737	40.784090	0.007886	1.8
457	-0.509753	40.746889	0.070339	2.9
458	-0.253386	40.709779	0.028743	1.8
459	-0.128609	40.672759	0.016214	1.6
460	-0.438457	40.635829	0.059925	1.6
461	-0.204783	40.598987	0.027431	1.6
462	-0.230938	40.562235	0.022879	1.8
463	-0.488622	40.525571	0.032632	1.7
464	-0.034035	40.488996	0.012412	1.7
465	-0.194244	40.452509	0.013507	1.8
466	-0.286135	40.416109	0.027381	1.8
467	-0.154005	40.379796	0.020394	1.7
468	-0.380543	40.343570	0.022542	1.7
469	-0.202853	40.307431	0.024423	1.7
470	-0.219655	40.271377	0.017617	1.7
471	-0.232444	40.235410	0.021311	1.7
472	-0.236461	40.199528	0.014711	1.7
473	-0.220149	40.163732	0.014163	1.7
474	-0.235369	40.128020	0.009479	1.8
475	-0.168110	40.092393	0.005817	1.7
476	-0.168083	40.056850	0.017632	2.0
477	-0.110880	40.021391	0.029314	2.1
478	-0.107777	39.986016	0.029541	1.7
479	-0.134395	39.950723	0.033635	1.7
480	-0.187195	39.915514	0.014663	1.7
481	-0.140836	39.880388	0.008266	1.7
482	-0.134820	39.845343	0.016896	1.7
483	-0.139572	39.810381	0.025515	1.7
484	-0.197693	39.775500	0.016288	1.9
485	-0.203504	39.740701	0.027891	1.7
486	-0.112261	39.705983	0.015756	2.0
487	-0.175366	39.671346	0.008184	1.7
488	-0.288247	39.636789	0.013230	1.7
489	-0.069621	39.602312	0.011081	1.6
490	-0.228606	39.567915	0.023385	1.7
491	-0.166636	39.533598	0.016953	1.6
492	-0.102942	39.499360	0.020604	1.7
493	-0.242440	39.465200	0.012307	1.7
494	-0.052026	39.431120	0.013894	1.7
495	-0.214103	39.397118	0.008322	1.8
496	-0.253694	39.363194	0.009113	1.7
497	-0.207204	39.329348	0.015044	1.6
498	-0.265579	39.295579	0.036906	1.7
499	-0.337187	39.261887	0.021642	1.7
500	-0.165380	39.228273	0.015663	1.8
501	-0.082683	39.194735	0.014935	1.7
502	-0.146762	39.161273	0.024237	1.7
503	-0.221269	39.127887	0.023375	2.1
504	-0.259797	39.094578	0.019074	1.7
505	-0.214299	39.061343	0.013957	1.7
506	-0.248307	39.028184	0.010163	1.6
507	-0.202070	38.995100	0.019610	1.7
508	-0.146527	38.962091	0.029678	1.7
509	-0.432498	38.929156	0.057195	1.7
510	-0.184533	38.896295	0.014602	1.7
511	-0.122068	38.863508	0.010091	1.7
512	-0.242545	38.830795	0.027606	1.7
513	-0.478882	38.798155	0.037578	1.6
514	-0.081189	38.765588	0.009337	2.0
515	-0.110341	38.733093	0.011120	1.9
516	-0.176707	38.700672	0.011782	1.8
517	-0.226692	38.668322	0.033315	1.6
518	-0.370290	38.636045	0.015910	1.9
519	-0.311373	38.603839	0.009628	1.6
520	-0.067904	38.571705	0.016487	1.6
521	-0.161871	38.539642	0.014225	1.7
522	-0.283891	38.507650	0.009520	1.7
523	-0.254650	38.475729	0.009450	1.7
524	-0.184950	38.443878	0.012301	2.0
525	-0.133873	38.412098	0.023058	1.7
526	-0.195319	38.380387	0.012661	1.9
527	-0.386733	38.348746	0.037690	1.7
528	-0.248940	38.317175	0.030056	1.6
529	-0.155658	38.285672	0.007843	1.7
530	-0.167703	38.254239	0.024817	1.6
531	-0.061733	38.222875	0.014107	1.6
532	-0.180349	38.191579	0.031632	2.0
533	-0.094885	38.160351	0.013248	2.0
534	-0.184104	38.129191	0.016695	2.0
