1:ItNr	2:Metric	3a:Time	3b:StepSize	4:||Gradient||	Time[ms]
0	-0.057078	0.000000	26.943451	0.003843	17.6
1	-0.131372	0.288900	26.577816	0.006058	0.4
2	-0.207808	0.577799	26.221973	0.012413	0.5
3	-0.391654	0.866699	25.875532	0.017407	0.5
4	-0.185184	1.155599	25.538126	0.006292	0.6
5	-0.240899	1.444499	25.209406	0.014298	0.5
6	-0.215648	1.733398	24.889040	0.009573	0.5
7	-0.126195	2.022298	24.576715	0.003635	0.5
8	-0.029392	2.311198	24.272132	0.005383	0.5
9	-0.314362	2.600098	23.975005	0.017596	0.5
10	-0.271950	2.888997	23.685066	0.014759	0.6
11	-0.272222	3.177897	23.402055	0.014186	0.6
12	-0.096479	3.466797	23.125727	0.002776	0.6
13	-0.044465	3.755697	22.855849	0.002201	0.6
14	-0.051860	4.044596	22.592198	0.007134	0.5
15	-0.396944	4.333496	22.334559	0.021414	0.5
16	-0.037658	4.622396	22.082731	0.001507	0.5
17	-0.218779	4.911295	21.836518	0.013250	0.5
18	-0.109786	5.200195	21.595735	0.013192	0.4
19	-0.080198	5.489095	21.360204	0.007827	0.5
20	-0.029737	5.777995	21.129755	0.003060	0.5
21	-0.057484	6.066894	20.904226	0.003725	0.5
22	-0.296014	6.355794	20.683460	0.017462	0.5
23	-0.043114	6.644694	20.467308	0.004183	0.5
24	-0.035207	6.933594	20.255628	0.002623	0.4
25	-0.235699	7.222493	20.048281	0.011903	0.4
26	-0.077251	7.511393	19.845136	0.005882	0.4
27	-0.217079	7.800293	19.646067	0.008542	0.4
28	-0.108111	8.089192	19.450951	0.004090	0.4
29	-0.465716	8.378092	19.259674	0.027456	0.4
30	-0.097240	8.666992	19.072121	0.013231	0.5
31	-0.299097	8.955892	18.888187	0.012490	0.5
32	-0.047745	9.244791	18.707766	0.003738	0.4
33	-0.272512	9.533691	18.530759	0.014586	0.5
34	-0.398411	9.822591	18.357070	0.023177	0.5
35	-0.185445	10.111491	18.186608	0.007221	0.5
36	-0.021327	10.400390	18.019281	0.004200	0.5
37	-0.074097	10.689290	17.855006	0.010109	0.5
38	-0.296666	10.978190	17.693699	0.016446	0.5
39	-0.519775	11.267090	17.535281	0.025854	0.5
40	-0.046080	11.555989	17.379674	0.004067	0.5
41	-0.026122	11.844889	17.226804	0.001814	0.4
42	-0.075613	12.133789	17.076600	0.005829	0.4
43	-0.321822	12.422688	16.928993	0.013232	0.4
44	-0.458833	12.711588	16.783916	0.023101	0.5
45	-0.152427	13.000488	16.641304	0.006051	0.5
46	-0.146731	13.289388	16.501096	0.008592	0.5
47	-0.034353	13.578287	16.363230	0.003840	0.5
48	-0.094854	13.867187	16.227649	0.011639	0.5
49	-0.265688	14.156087	16.094296	0.008804	0.6
50	-0.085421	14.444987	15.963117	0.005222	0.5
51	-0.092647	14.733886	15.834059	0.003796	0.5
52	-0.234039	15.022786	15.707071	0.017313	0.5
53	-0.028446	15.311686	15.582104	0.002002	0.5
54	-0.218201	15.600585	15.459110	0.017146	0.5
55	-0.054878	15.889485	15.338042	0.002039	0.4
56	-0.327527	16.178385	15.218856	0.014842	0.4
57	-0.065603	16.467285	15.101507	0.004843	0.4
58	-0.312592	16.756184	14.985955	0.015643	0.5
59	-0.035660	17.045084	14.872157	0.003981	0.4
