1:ItNr	2:Metric	3a:Time	3b:StepSize	4:||Gradient||	Time[ms]
116	-0.205462	1.139832	0.463197	0.007145	2.2
117	-0.248929	1.149658	0.462992	0.030796	2.2
118	-0.091520	1.159484	0.462787	0.017139	2.6
119	-0.096506	1.169310	0.462582	0.015532	2.2
120	-0.221853	1.179136	0.462377	0.023432	2.5
121	-0.096523	1.188963	0.462172	0.035107	2.6
122	-0.133798	1.198789	0.461967	0.056910	2.3
123	-0.091758	1.208615	0.461763	0.027576	2.5
124	-0.244808	1.218441	0.461559	0.016038	2.4
125	-0.297987	1.228267	0.461355	0.035448	2.3
126	-0.125561	1.238093	0.461151	0.029509	2.4
127	-0.211440	1.247919	0.460947	0.017143	2.4
128	-0.231024	1.257745	0.460744	0.023986	2.7
129	-0.281901	1.267572	0.460540	0.051137	2.3
130	-0.245664	1.277398	0.460337	0.024112	2.4
131	-0.131139	1.287224	0.460134	0.028653	2.4
132	-0.217275	1.297050	0.459931	0.019102	2.3
133	-0.272888	1.306876	0.459729	0.027675	2.4
134	-0.229796	1.316702	0.459526	0.017602	2.2
135	-0.170209	1.326528	0.459324	0.017298	2.5
136	-0.229339	1.336355	0.459122	0.011982	2.7
137	-0.172239	1.346181	0.458920	0.014913	2.2
138	-0.250643	1.356007	0.458719	0.027029	2.5
139	-0.234503	1.365833	0.458517	0.020005	2.2
140	-0.164655	1.375659	0.458316	0.034185	2.5
141	-0.259388	1.385485	0.458114	0.017169	2.4
142	-0.115261	1.395311	0.457913	0.024048	2.4
143	-0.139413	1.405138	0.457713	0.016963	2.8
144	-0.119125	1.414964	0.457512	0.023099	2.2
145	-0.183510	1.424790	0.457311	0.032887	2.8
146	-0.139758	1.434616	0.457111	0.022635	2.4
147	-0.206783	1.444442	0.456911	0.029932	2.8
148	-0.264665	1.454268	0.456711	0.030856	2.3
149	-0.200065	1.464094	0.456511	0.022375	2.4
150	-0.301130	1.473920	0.456312	0.041771	2.9
151	-0.273068	1.483747	0.456112	0.027037	2.2
152	-0.177919	1.493573	0.455913	0.017396	2.5
153	-0.160500	1.503399	0.455714	0.021777	2.5
154	-0.170735	1.513225	0.455515	0.022137	2.2
155	-0.162237	1.523051	0.455316	0.016096	2.4
156	-0.206348	1.532877	0.455118	0.041715	2.2
157	-0.267285	1.542703	0.454919	0.042984	2.4
158	-0.269611	1.552530	0.454721	0.023655	2.4
159	-0.292224	1.562356	0.454523	0.025372	2.3
160	-0.107885	1.572182	0.454325	0.020809	2.8
161	-0.205010	1.582008	0.454128	0.048390	2.5
162	-0.175428	1.591834	0.453930	0.015706	2.3
163	-0.222026	1.601660	0.453733	0.013439	2.2
164	-0.229940	1.611486	0.453536	0.029119	2.2
165	-0.224756	1.621313	0.453339	0.015595	2.6
166	-0.162511	1.631139	0.453142	0.020522	2.3
167	-0.221451	1.640965	0.452945	0.012514	2.6
168	-0.114403	1.650791	0.452749	0.032338	2.1
169	-0.134583	1.660617	0.452552	0.013847	2.3
170	-0.265978	1.670443	0.452356	0.022960	2.7
171	-0.219281	1.680269	0.452160	0.023756	2.2
172	-0.164554	1.690095	0.451964	0.047616	2.3
173	-0.185472	1.699922	0.451769	0.033289	2.2
174	-0.232098	1.709748	0.451573	0.027153	2.2
175	-0.174712	1.719574	0.451378	0.022784	2.6
176	-0.228949	1.729400	0.451183	0.040667	2.1
177	-0.175839	1.739226	0.450988	0.017438	2.6
178	-0.161647	1.749052	0.450793	0.017255	2.8
179	-0.211159	1.758878	0.450598	0.023926	2.5
180	-0.149095	1.768705	0.450404	0.004989	2.5
181	-0.162162	1.778531	0.450210	0.029358	2.2
182	-0.284138	1.788357	0.450016	0.019430	2.3
183	-0.166094	1.798183	0.449822	0.018830	2.2
184	-0.200033	1.808009	0.449628	0.021810	2.3
185	-0.150838	1.817835	0.449434	0.031739	3.0
186	-0.130168	1.827661	0.449241	0.030361	2.4
187	-0.240298	1.837488	0.449047	0.031181	2.4
188	-0.186168	1.847314	0.448854	0.019681	2.2
189	-0.081265	1.857140	0.448661	0.009737	2.2
190	-0.179738	1.866966	0.448469	0.013005	2.7
191	-0.156500	1.876792	0.448276	0.022502	2.5
192	-0.220464	1.886618	0.448083	0.021633	2.6
193	-0.183643	1.896444	0.447891	0.016693	2.5
194	-0.327650	1.906270	0.447699	0.013575	2.3
195	-0.086150	1.916097	0.447507	0.011761	2.2
196	-0.243404	1.925923	0.447315	0.043915	2.5
197	-0.137043	1.935749	0.447124	0.020437	2.4
198	-0.211354	1.945575	0.446932	0.020308	2.2
199	-0.189643	1.955401	0.446741	0.019671	2.3
200	-0.259869	1.965227	0.446550	0.023529	2.2
201	-0.243984	1.975053	0.446359	0.057375	2.2
202	-0.242109	1.984880	0.446168	0.027013	2.7
203	-0.233225	1.994706	0.445977	0.038656	2.4
204	-0.101171	2.004532	0.445787	0.026756	2.2
205	-0.168822	2.014358	0.445596	0.014033	2.6
206	-0.204075	2.024184	0.445406	0.035827	2.5
207	-0.159460	2.034010	0.445216	0.036426	3.0
208	-0.193954	2.043836	0.445026	0.016177	2.3
209	-0.183585	2.053663	0.444837	0.046536	2.6
210	-0.164576	2.063489	0.444647	0.014935	2.5
211	-0.151924	2.073315	0.444458	0.020894	2.3
212	-0.199047	2.083141	0.444269	0.032304	2.8
213	-0.167255	2.092967	0.444080	0.015794	2.3
214	-0.168254	2.102793	0.443891	0.014833	2.3
215	-0.081152	2.112619	0.443702	0.020867	2.2
216	-0.206647	2.122446	0.443513	0.042377	2.3
217	-0.128213	2.132272	0.443325	0.013798	2.9
218	-0.239927	2.142098	0.443137	0.029013	2.2
219	-0.309433	2.151924	0.442949	0.018949	2.2
220	-0.223639	2.161750	0.442761	0.013663	2.2
221	-0.160043	2.171576	0.442573	0.010591	2.2
222	-0.194194	2.181402	0.442385	0.034855	2.2
223	-0.073825	2.191228	0.442198	0.014122	2.2
224	-0.239249	2.201055	0.442011	0.026355	2.2
