parameter_file,target,atlas,dice,hd,hd95,recall,fpr,fnr,fusion_method,NrOfAtlases,similarity
"['Par0001translation_CC.txt', 'Par0001bspline16_CC.txt']",p128,p107,0.8384808591354361,25.306640625,6.425938129425049,0.8315020550624493,0.009458321161413246,0.16849794274001895,,,
"['Par0001translation_CC.txt', 'Par0001bspline16_CC.txt']",p128,p115,0.0002685044298939656,58.97048568725586,40.13604736328125,0.0004713619528337161,0.05900240428378231,0.9995286324357145,,,
"['Par0001translation_CC.txt', 'Par0001bspline16_CC.txt']",p128,p127,0.823998739193315,22.20701789855957,7.389020919799805,0.8179192069762206,0.01040084360613479,0.18208079082202375,,,
"['Par0001translation_CC.txt', 'Par0001bspline16_CC.txt']",p128,p119,0.8834544548515669,15.813358306884766,5.647563123703003,0.8281938568190381,0.003295154709597227,0.17180614122579774,,,
"['Par0001translation_CC.txt', 'Par0001bspline16_CC.txt']",p128,p125,0.8714248690259764,15.262048721313477,5.300888347625732,0.9120220038744665,0.010086706801010084,0.08797799368258251,,,
"['Par0001translation_CC.txt', 'Par0001bspline16_CC.txt']",p128,p108,0.8683547485209014,18.348634719848633,5.65635347366333,0.8252950183286931,0.0051649524947764095,0.17470497965820564,,,
"['Par0001translation_CC.txt', 'Par0001bspline16_CC.txt']",p128,p117,0.7818825599081833,37.936676025390625,9.439610004425049,0.9307342180886674,0.019611088779614184,0.06926577882572234,,,
"['Par0001translation_CC.txt', 'Par0001bspline16_CC.txt']",p128,p116,0.8916349155067844,10.153789520263672,3.8678760528564453,0.87376920282269,0.005505750995580134,0.12623079503213305,,,
"['Par0001translation_CC.txt', 'Par0001bspline16_CC.txt']",p128,p102,0.8579064904011129,19.881126403808594,5.285943508148193,0.9097594799140342,0.01144915913014249,0.09024051758109394,,,
"['Par0001translation_CC.txt', 'Par0001bspline16_CC.txt']",p128,p109,0.8651737919140039,25.2018985748291,5.995103597640991,0.7920619047412739,0.0029023569150083287,0.20793809340168823,,,
"['Par0001translation_CC.txt', 'Par0001bspline16_CC.txt']",p128,p120,0.9084190371258098,16.741146087646484,3.4179649353027344,0.9035667758751865,0.005306909613104737,0.09643322191395512,,,
"['Par0001translation_CC.txt', 'Par0001bspline16_CC.txt']",p128,fused_atlas,0.8384808591354361,25.306640625,6.425938129425049,0.8315020550624493,0.009458321161413246,0.16849794274001895,itkvoting,1.0,most
"['Par0001translation_CC.txt', 'Par0001bspline16_CC.txt']",p128,fused_atlas,0.9084190371258098,16.741146087646484,3.4179649353027344,0.9035667758751865,0.005306909613104737,0.09643322191395512,itkvoting,1.0,least
"['Par0001translation_CC.txt', 'Par0001bspline16_CC.txt']",p128,fused_atlas,0.0003736621551995486,83.71247100830078,58.55123558044432,0.039566632328482176,0.057663355354722445,0.9604328966401805,itkvoting,2.0,most
"['Par0001translation_CC.txt', 'Par0001bspline16_CC.txt']",p128,fused_atlas,0.9161546297608955,16.741146087646484,2.6294820308685303,0.9414772169100151,0.006577338690952266,0.058522780731716864,itkvoting,2.0,least
"['Par0001translation_CC.txt', 'Par0001bspline16_CC.txt']",p128,fused_atlas,0.8319693950111974,27.911951065063477,7.6911396980285645,0.8735846344918836,0.012526189428101422,0.12641536304982137,itkvoting,3.0,most
"['Par0001translation_CC.txt', 'Par0001bspline16_CC.txt']",p128,fused_atlas,0.9138930053071317,16.741146087646484,2.6382691860198975,0.9184744437431593,0.005542741393959252,0.08152555399970307,itkvoting,3.0,least
"['Par0001translation_CC.txt', 'Par0001bspline16_CC.txt']",p128,fused_atlas,0.8624907241824528,27.911951065063477,5.813962459564209,0.955768350015851,0.012964977380887232,0.044231647266048627,itkvoting,4.0,most
"['Par0001translation_CC.txt', 'Par0001bspline16_CC.txt']",p128,fused_atlas,0.911464461771004,16.741146087646484,2.847144365310669,0.9372933764586442,0.006890162178726881,0.06270662117996925,itkvoting,4.0,least
"['Par0001translation_CC.txt', 'Par0001bspline16_CC.txt']",p128,fused_atlas,0.8825073682124845,22.637657165527344,4.8828125,0.9320216513344096,0.009852058090430136,0.0679783461800933,itkvoting,5.0,most
"['Par0001translation_CC.txt', 'Par0001bspline16_CC.txt']",p128,fused_atlas,0.9163835561457185,16.741146087646484,2.9375832080841064,0.9276446067685763,0.005780192133425404,0.0723553909417686,itkvoting,5.0,least
"['Par0001translation_CC.txt', 'Par0001bspline16_CC.txt']",p128,fused_atlas,0.8856651529906076,22.637657165527344,4.911870002746582,0.9510385465929115,0.010399297025483412,0.048961450842453305,itkvoting,6.0,most
"['Par0001translation_CC.txt', 'Par0001bspline16_CC.txt']",p128,fused_atlas,0.910946082628556,18.348634719848633,3.0956532955169678,0.9375206925595284,0.006961760872390735,0.062479305075354284,itkvoting,6.0,least
"['Par0001translation_CC.txt', 'Par0001bspline16_CC.txt']",p128,fused_atlas,0.8954255563247892,22.637657165527344,4.5572270154953,0.9425003743019993,0.008952702632595295,0.0574996232282978,itkvoting,7.0,most
"['Par0001translation_CC.txt', 'Par0001bspline16_CC.txt']",p128,fused_atlas,0.9187455022933054,18.062646865844727,2.961143732070923,0.9302943574094016,0.005652483598205983,0.06970564029968446,itkvoting,7.0,least
"['Par0001translation_CC.txt', 'Par0001bspline16_CC.txt']",p128,fused_atlas,0.8928280396397176,22.637657165527344,4.652201175689697,0.9529338356743001,0.009728070944555198,0.04706616179008075,itkvoting,8.0,most
