parameter_file,target,atlas,dice,hd,hd95,recall,fpr,fnr,fusion_method,NrOfAtlases,similarity
"['Par0001translation.txt', 'Par0001bspline16.txt']",p128,p107,0.8449246143816312,19.537229537963867,5.730771064758301,0.8603243113140819,0.010375275183786496,0.1396756863697253,,,
"['Par0001translation.txt', 'Par0001bspline16.txt']",p128,p115,0.0012961827231503162,35.327701568603516,29.089397430419922,0.0025091606664410307,0.058788421241307814,0.9974908329162683,,,
"['Par0001translation.txt', 'Par0001bspline16.txt']",p128,p127,0.7291416454969347,17.671838760375977,7.975250244140625,0.839438790145574,0.021449161173608813,0.1605612069435992,,,
"['Par0001translation.txt', 'Par0001bspline16.txt']",p128,p119,0.8750816356291989,17.23011589050293,6.023785591125488,0.8139009601384388,0.0033244138145512104,0.18609903793930865,,,
"['Par0001translation.txt', 'Par0001bspline16.txt']",p128,p125,0.8761252804175063,14.023423194885254,4.738953876495361,0.9058127304910454,0.00924471295675748,0.09418726712277545,,,
"['Par0001translation.txt', 'Par0001bspline16.txt']",p128,p108,0.8624089468038063,20.227497100830078,5.549980306625367,0.8288670187462167,0.006225403477283077,0.17113297919288376,,,
"['Par0001translation.txt', 'Par0001bspline16.txt']",p128,p117,0.7781279721103624,36.83986282348633,8.610857963562012,0.9352424066682486,0.020070167986618072,0.06475759019457523,,,
"['Par0001translation.txt', 'Par0001bspline16.txt']",p128,p116,0.8973014775595051,10.293709754943848,3.554741144180298,0.8875156005510536,0.005679379261512367,0.11248439726295822,,,
"['Par0001translation.txt', 'Par0001bspline16.txt']",p128,p102,0.8515091804000731,24.66705322265625,8.382923984527588,0.9006333619133197,0.01170630841530698,0.09936663559410197,,,
"['Par0001translation.txt', 'Par0001bspline16.txt']",p128,p109,0.8306645978710409,22.623497009277344,8.660945987701407,0.7613840318891014,0.005338719210538077,0.23861596624893686,,,
"['Par0001translation.txt', 'Par0001bspline16.txt']",p128,p120,0.9055586778705901,19.19098472595215,3.3036540269851686,0.8952600570975504,0.005141036520989446,0.10473994071854757,,,
"['Par0001translation.txt', 'Par0001bspline16.txt']",p128,fused_atlas,0.8449246143816312,19.537229537963867,5.730771064758301,0.8603243113140819,0.010375275183786496,0.1396756863697253,itkvoting,1.0,most
"['Par0001translation.txt', 'Par0001bspline16.txt']",p128,fused_atlas,0.9055586778705901,19.19098472595215,3.3036540269851686,0.8952600570975504,0.005141036520989446,0.10473994071854757,itkvoting,1.0,least
"['Par0001translation.txt', 'Par0001bspline16.txt']",p128,fused_atlas,0.0017189344327210065,57.18233871459961,41.15957889556885,0.052469128761523244,0.05766339250216441,0.9475307370463315,itkvoting,2.0,most
"['Par0001translation.txt', 'Par0001bspline16.txt']",p128,fused_atlas,0.9052932743704513,19.19098472595215,3.0394766330718994,0.9558508579509919,0.008524978880051118,0.044149139564671896,itkvoting,2.0,least
"['Par0001translation.txt', 'Par0001bspline16.txt']",p128,fused_atlas,0.7136219701848189,20.206283569335938,8.114786148071289,0.8844689554833575,0.024113525001915513,0.11553104121188444,itkvoting,3.0,most
"['Par0001translation.txt', 'Par0001bspline16.txt']",p128,fused_atlas,0.912547432414026,19.19098472595215,2.6382691860198975,0.9284217758733737,0.006276623934697809,0.0715782218141454,itkvoting,3.0,least
"['Par0001translation.txt', 'Par0001bspline16.txt']",p128,fused_atlas,0.7287686758448366,20.609336853027344,8.147648811340332,0.9486289187650127,0.024423364874570693,0.051371077651875305,itkvoting,4.0,most
"['Par0001translation.txt', 'Par0001bspline16.txt']",p128,fused_atlas,0.9114953500796685,19.19098472595215,2.847144365310669,0.9510299616015321,0.007604023111342065,0.048970035969880574,itkvoting,4.0,least
"['Par0001translation.txt', 'Par0001bspline16.txt']",p128,fused_atlas,0.8723957451638239,18.347896575927734,5.258941268920898,0.9374324289841214,0.011181880866623662,0.06256756844795049,itkvoting,5.0,most
"['Par0001translation.txt', 'Par0001bspline16.txt']",p128,fused_atlas,0.9190066314559441,19.19098472595215,2.8132052421569824,0.9403675817513731,0.006187805071773629,0.059632415910009014,itkvoting,5.0,least
"['Par0001translation.txt', 'Par0001bspline16.txt']",p128,fused_atlas,0.8679700062611669,20.37282943725586,5.40982875823974,0.9602937762773723,0.012601203502719633,0.039706221012490425,itkvoting,6.0,most
"['Par0001translation.txt', 'Par0001bspline16.txt']",p128,fused_atlas,0.909215721659137,20.37282943725586,3.133923578262329,0.9466475079838924,0.007635292689944198,0.0533524895973711,itkvoting,6.0,least
"['Par0001translation.txt', 'Par0001bspline16.txt']",p128,fused_atlas,0.8833470226847256,20.37282943725586,4.828240394592285,0.9467526668470387,0.010449832228100303,0.05324733059741652,itkvoting,7.0,most
"['Par0001translation.txt', 'Par0001bspline16.txt']",p128,fused_atlas,0.920828479065599,19.19098472595215,2.683069944381714,0.9386539502169119,0.005880823388141053,0.06134604746183619,itkvoting,7.0,least
"['Par0001translation.txt', 'Par0001bspline16.txt']",p128,fused_atlas,0.8806888325473774,20.37282943725586,4.926009178161621,0.9574570241242435,0.011198333622698146,0.042542973251429014,itkvoting,8.0,most
"['Par0001translation.txt', 'Par0001bspline16.txt']",p128,fused_atlas,0.9190946077773401,19.413318634033203,2.9296722412109375,0.9447353062533231,0.0064155081076131245,0.05526469138725703,itkvoting,8.0,least
"['Par0001translation.txt', 'Par0001bspline16.txt']",p128,fused_atlas,0.8998793688475075,20.37282943725586,3.8985749006271364,0.9484502875878343,0.008756131560845303,0.051549709936194954,itkvoting,9.0,most
