parameter_file,target,atlas,similarity,dice,hd,hd95,recall,fpr,fnr
Par0043rigid.txt,p128,p120,least,0.8183701805984618,26.640365600585938,6.590775012969971,0.9567847853840329,0.01717600088639357,0.04321521162529507
Par0043rigid.txt,p128,p108,middle,0.7938041394229989,23.518508911132812,10.258966970443726,0.7168416412966442,0.0068757360407257105,0.2831583569019564
Par0043rigid.txt,p128,p107,most,0.591784708667717,29.222864151000977,11.890422248840332,0.9692526713491868,0.03396127289149501,0.03074732356524869
Par0043rigid.txt,p127,p120,least,0.5569448904230018,18.09183120727539,12.005698394775372,0.4532984455169549,0.007848671483616005,0.5467015514893558
Par0043rigid.txt,p127,p108,middle,0.4781958314642247,24.77296257019043,16.504483890533447,0.3284624043307911,0.0035298134085783583,0.6715375938869446
Par0043rigid.txt,p127,p107,most,0.6969291978387757,18.436857223510742,7.159993648529053,0.7201605236968062,0.009005993418421754,0.27983947121677566
Par0043rigid.txt,p125,p120,least,0.699592254988032,24.039703369140625,9.222915649414062,0.6143008639494975,0.006149943764278871,0.3856991329493043
Par0043rigid.txt,p125,p102,middle,0.6558129743196484,31.440309524536133,12.60535607337948,0.7616151931303388,0.01365106989822793,0.2383848014451676
Par0043rigid.txt,p125,p107,most,0.8122848562561448,18.164813995361328,4.828240394592285,0.9114110007326157,0.008618616787469896,0.08858899416521343
Par0043rigid.txt,p120,p128,least,0.8154601370325698,23.79304313659668,6.8359375,0.7125315345091954,0.0021431906792750573,0.28746846325618275
Par0043rigid.txt,p120,p107,middle,0.7097714227172122,11.230461120605469,6.905338954925537,0.9585494286892152,0.019303749354619867,0.04145056622607356
Par0043rigid.txt,p120,p117,most,0.646392966089764,19.394771575927734,9.372398376464844,0.8799517969899031,0.02162765516681211,0.12004819786068685
Par0043rigid.txt,p119,p109,least,0.6755120144138108,35.34341812133789,17.117576313018798,0.6833239852445924,0.014915889382092689,0.316676011691147
Par0043rigid.txt,p119,p125,middle,0.6960524139969145,28.03993034362793,10.963991975784301,0.8246501254095499,0.017671456547214727,0.17534987048879483
Par0043rigid.txt,p119,p107,most,0.6704592137616364,20.054956436157227,10.196882247924805,0.9044923487868035,0.020629472088120875,0.0955076461273216
Par0043rigid.txt,p117,p128,least,0.44558345172570596,43.44645690917969,22.625429725646974,0.31947752951020686,0.0070057625655500465,0.6805224682551063
Par0043rigid.txt,p117,p109,middle,0.595523467888885,40.36530303955078,24.557580375671378,0.4749554128696155,0.005273076011859064,0.5250445840660769
Par0043rigid.txt,p117,p116,most,0.4210535064628828,40.71213150024414,22.326509475708008,0.2880732895412289,0.005850550714885215,0.7119267085620297
Par0043rigid.txt,p116,p120,least,0.7704161917331874,20.846357345581055,6.191304683685303,0.992838116410935,0.02633420540479121,0.007161880599966281
Par0043rigid.txt,p116,p127,middle,0.5208353668011454,23.81484603881836,14.400143718719482,0.91583364691037,0.04445481509811333,0.08416634832045809
Par0043rigid.txt,p116,p102,most,0.5513633503708705,28.768999099731445,12.337533617019654,0.9478467330386542,0.042755749611369645,0.05215326234110645
Par0043rigid.txt,p115,p116,least,0.46402273949448686,26.748353958129883,16.678588485717768,0.30623861810467373,0.0009988706193649187,0.6937613800004142
Par0043rigid.txt,p115,p128,middle,0.3477876273214986,46.97191619873047,30.888209342956543,0.23969876223843742,0.008461273663053786,0.7603012355202142
Par0043rigid.txt,p115,p107,most,0.6278528238140569,19.375106811523438,10.320515632629395,0.5834719120020754,0.007152712695585451,0.41652808291236004
Par0043rigid.txt,p109,p119,least,0.654955080869379,36.9539680480957,18.348697280883787,0.6475643049122279,0.014828538458195465,0.35243569209257647
Par0043rigid.txt,p109,p127,middle,0.19026617154203923,26.656530380249023,15.431829929351807,0.24319658019975496,0.036463095249662424,0.7568034150309365
Par0043rigid.txt,p109,p117,most,0.5965518493231703,41.33356475830078,24.84924001693725,0.8045447883922898,0.022678861202341284,0.1954552064065285
Par0043rigid.txt,p108,p120,least,0.7268210940724272,18.321640014648438,7.71908149719237,0.9808583807912554,0.03235416535222077,0.019141616219735185
Par0043rigid.txt,p108,p115,middle,0.44591095176768486,26.72639274597168,18.866857528686523,0.9738702222875092,0.05322159473754429,0.026129771787372556
Par0043rigid.txt,p108,p117,most,0.4059807906841461,33.980445861816406,24.231165695190434,0.7995718919835383,0.054678917842253455,0.20042810284612508
Par0043rigid.txt,p107,p120,least,0.659270095300653,17.54922103881836,8.255526542663574,0.530003985910648,0.003386133658511952,0.46999601099822874
Par0043rigid.txt,p107,p128,middle,0.5286336627915552,30.902578353881836,16.41379737854004,0.3804759320864172,0.003609382178070869,0.6195240656787362
Par0043rigid.txt,p107,p115,most,0.6646399508974093,17.79900550842285,9.264477729797363,0.7194386479347031,0.00990465076021166,0.28056134614140715
Par0043rigid.txt,p102,p128,least,0.4862095810890904,34.96916580200195,21.23932189941406,0.3606901013236863,0.007525198852367836,0.639309896441527
Par0043rigid.txt,p102,p127,middle,0.296906973864388,25.22779083251953,15.160321235656738,0.3016829832002796,0.020284693406092784,0.6983170120307076
Par0043rigid.txt,p102,p116,most,0.5736231031214484,26.181352615356445,11.552244186401367,0.4075307159907534,0.0009487097821639925,0.592469282064531
Par0001bspline08.txt,p128,p120,least,0.9048863126021284,20.25627326965332,3.7186391353607178,0.900351980592614,0.005542841200644798,0.09964801719505052
Par0001bspline08.txt,p128,p108,middle,0.5723333668779311,20.27458953857422,9.532810163497912,0.558890991425828,0.02538085824781123,0.44110900644441436
